frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
70;2.333333;19;20.061570;19.000000;1.056092;1.055872;1.056092;1.056082;1.056069;1.056054;1.056036;1.056016;1.055993;1.055968;1.055940;1.055910;1.055877;1.055842;1.055803;1.055763;1.055720;1.055675;1.055627;1.055576;1.055523
71;2.366666;19;19.880630;19.000000;1.046540;1.046349;1.046540;1.046531;1.046519;1.046505;1.046489;1.046471;1.046452;1.046429;1.046405;1.046379;1.046351;1.046321;1.046289;1.046254;1.046218;1.046181;1.046140;1.046098;1.046053
72;2.399999;19;19.687210;19.000000;1.036329;1.036169;1.036329;1.036320;1.036309;1.036297;1.036283;1.036268;1.036251;1.036232;1.036213;1.036191;1.036169;1.036144;1.036118;1.036092;1.036063;1.036032;1.036001;1.035968;1.035933
73;2.433332;19;19.493700;19.000000;1.026113;1.025984;1.026113;1.026104;1.026094;1.026083;1.026072;1.026059;1.026045;1.026030;1.026015;1.025998;1.025981;1.025962;1.025943;1.025923;1.025902;1.025880;1.025856;1.025833;1.025808
74;2.466666;19;19.311850;19.000000;1.016512;1.016413;1.016512;1.016503;1.016494;1.016485;1.016475;1.016465;1.016454;1.016443;1.016431;1.016419;1.016407;1.016394;1.016381;1.016367;1.016352;1.016338;1.016323;1.016307;1.016292
75;2.499999;19;19.152110;19.000000;1.008080;1.008006;1.008080;1.008072;1.008063;1.008055;1.008047;1.008039;1.008030;1.008022;1.008014;1.008006;1.007997;1.007989;1.007981;1.007973;1.007965;1.007957;1.007949;1.007941;1.007933
76;2.533332;19;19.023160;19.000000;1.001273;1.001219;1.001273;1.001265;1.001257;1.001250;1.001243;1.001236;1.001230;1.001224;1.001218;1.001213;1.001208;1.001204;1.001200;1.001196;1.001193;1.001191;1.001188;1.001187;1.001184
77;2.566666;19;18.995660;19.000000;0.999777;0.999771;0.999777;0.999772;0.999770;0.999769;0.999771;0.999772;0.999774;0.999775;0.999776;0.999776;0.999776;0.999776;0.999776;0.999775;0.999773;0.999769;0.999765;0.999760;0.999758
78;2.599999;19;19.001910;19.000000;1.000141;1.000100;1.000141;1.000133;1.000123;1.000118;1.000109;1.000107;1.000100;1.000099;1.000094;1.000094;1.000090;1.000092;1.000087;1.000090;1.000086;1.000089;1.000085;1.000086;1.000085
79;2.633332;19;19.001040;19.000000;1.000120;1.000055;1.000120;1.000109;1.000096;1.000084;1.000071;1.000063;1.000053;1.000049;1.000042;1.000040;1.000036;1.000036;1.000033;1.000033;1.000031;1.000034;1.000034;1.000037;1.000037
