frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
92;3.066665;19;28.072410;19.000000;1.504575;1.477495;1.504575;1.504482;1.504344;1.504162;1.503934;1.503659;1.503337;1.502966;1.502545;1.502074;1.501551;1.500973;1.500345;1.499660;1.498924;1.498130;1.497284;1.496380;1.043083
93;3.099998;19;27.993140;19.000000;1.500168;1.473323;1.500168;1.500075;1.499939;1.499758;1.499532;1.499259;1.498940;1.498572;1.498155;1.497688;1.497168;1.496597;1.495972;1.495295;1.494562;1.493777;1.492937;1.492044;1.042707
94;3.133332;19;27.888080;19.000000;1.494327;1.467793;1.494327;1.494234;1.494099;1.493920;1.493696;1.493427;1.493111;1.492747;1.492335;1.491873;1.491359;1.490794;1.490178;1.489507;1.488784;1.488007;1.487177;1.486294;1.042206
95;3.166665;19;27.758150;19.000000;1.487102;1.460955;1.487102;1.487012;1.486877;1.486701;1.486480;1.486215;1.485903;1.485544;1.485137;1.484681;1.484176;1.483619;1.483011;1.482351;1.481637;1.480873;1.480053;1.479182;1.041592
96;3.199998;19;27.604450;19.000000;1.478556;1.452866;1.478556;1.478466;1.478336;1.478161;1.477944;1.477683;1.477376;1.477024;1.476624;1.476175;1.475678;1.475131;1.474533;1.473885;1.473184;1.472432;1.471628;1.470773;1.040859
97;3.233332;19;27.428230;19.000000;1.468758;1.443591;1.468758;1.468670;1.468540;1.468370;1.468157;1.467901;1.467600;1.467254;1.466862;1.466423;1.465936;1.465399;1.464813;1.464179;1.463491;1.462756;1.461969;1.461130;1.040022
98;3.266665;19;27.230850;19.000000;1.457783;1.433203;1.457783;1.457697;1.457570;1.457403;1.457194;1.456944;1.456650;1.456312;1.455928;1.455499;1.455023;1.454499;1.453927;1.453306;1.452635;1.451916;1.451149;1.450328;1.039085
99;3.299998;19;27.013800;19.000000;1.445714;1.421779;1.445714;1.445629;1.445506;1.445343;1.445140;1.444895;1.444609;1.444279;1.443905;1.443488;1.443023;1.442514;1.441955;1.441351;1.440698;1.439996;1.439249;1.438452;1.038054
100;3.333332;19;26.778710;19.000000;1.432642;1.409406;1.432642;1.432559;1.432439;1.432280;1.432083;1.431845;1.431566;1.431246;1.430883;1.430476;1.430025;1.429530;1.428989;1.428402;1.427767;1.427087;1.426361;1.425586;1.036937
101;3.366665;19;26.527270;19.000000;1.418661;1.396172;1.418661;1.418580;1.418465;1.418310;1.418118;1.417888;1.417618;1.417307;1.416955;1.416561;1.416125;1.415645;1.415121;1.414552;1.413939;1.413281;1.412576;1.411829;1.035742
102;3.399998;19;26.261340;19.000000;1.403874;1.382176;1.403874;1.403796;1.403683;1.403534;1.403348;1.403125;1.402864;1.402564;1.402224;1.401844;1.401423;1.400958;1.400453;1.399905;1.399312;1.398677;1.397998;1.397277;1.034480
103;3.433331;19;25.982810;19.000000;1.388386;1.367517;1.388386;1.388311;1.388201;1.388058;1.387879;1.387664;1.387412;1.387123;1.386796;1.386430;1.386024;1.385578;1.385092;1.384563;1.383994;1.383383;1.382730;1.382036;1.033155
104;3.466665;19;25.693690;19.000000;1.372309;1.352299;1.372309;1.372237;1.372131;1.371993;1.371820;1.371614;1.371372;1.371094;1.370780;1.370429;1.370039;1.369611;1.369143;1.368638;1.368092;1.367505;1.366880;1.366216;1.031781
105;3.499998;19;25.396010;19.000000;1.355757;1.336632;1.355757;1.355687;1.355585;1.355452;1.355287;1.355089;1.354858;1.354591;1.354291;1.353954;1.353582;1.353173;1.352726;1.352241;1.351720;1.351159;1.350561;1.349926;1.030368
106;3.533331;19;25.091880;19.000000;1.338846;1.320626;1.338846;1.338778;1.338682;1.338555;1.338396;1.338207;1.337986;1.337732;1.337444;1.337124;1.336768;1.336378;1.335952;1.335490;1.334993;1.334459;1.333890;1.333283;1.028922
107;3.566665;19;24.783470;19.000000;1.321696;1.304393;1.321696;1.321631;1.321539;1.321417;1.321266;1.321086;1.320875;1.320633;1.320360;1.320055;1.319717;1.319346;1.318941;1.318503;1.318030;1.317523;1.316983;1.316406;1.027458
108;3.599998;19;24.472930;19.000000;1.304428;1.288049;1.304428;1.304366;1.304278;1.304162;1.304019;1.303847;1.303647;1.303418;1.303158;1.302869;1.302548;1.302197;1.301814;1.301398;1.300950;1.300471;1.299960;1.299416;1.025983
