frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
380;3.166681;1.009415;1.000000;1.009415;1.009415;1.009415
381;3.175014;1.009278;1.000000;1.009278;1.009278;1.009278
382;3.183347;1.009182;1.000000;1.009182;1.009182;1.009182
383;3.191681;1.009132;1.000000;1.009132;1.009132;1.009132
384;3.200014;1.009128;1.000000;1.009128;1.009128;1.009128
385;3.208348;1.009171;1.000000;1.009171;1.009171;1.009171
386;3.216681;1.009256;1.000000;1.009256;1.009256;1.009256
387;3.225015;1.009375;1.000000;1.009375;1.009375;1.009375
388;3.233348;1.009520;1.000000;1.009520;1.009520;1.009520
389;3.241682;1.009679;1.000000;1.009679;1.009679;1.009679
390;3.250015;1.009842;1.000000;1.009842;1.009842;1.009842
391;3.258348;1.009998;1.000000;1.009998;1.009998;1.009998
392;3.266682;1.010136;1.000000;1.010136;1.010136;1.010136
393;3.275015;1.010247;1.000000;1.010247;1.010247;1.010247
394;3.283349;1.010325;1.000000;1.010325;1.010325;1.010325
395;3.291682;1.010366;1.000000;1.010366;1.010366;1.010366
396;3.300016;1.010368;1.000000;1.010368;1.010368;1.010368
397;3.308349;1.010333;1.000000;1.010333;1.010333;1.010333
398;3.316683;1.010264;1.000000;1.010264;1.010264;1.010264
399;3.325016;1.010166;1.000000;1.010166;1.010166;1.010166
400;3.333349;1.010049;1.000000;1.010049;1.010049;1.010049
401;3.341683;1.009919;1.000000;1.009919;1.009919;1.009919
402;3.350016;1.009786;1.000000;1.009786;1.009786;1.009786
403;3.358350;1.009660;1.000000;1.009660;1.009660;1.009660
404;3.366683;1.009548;1.000000;1.009548;1.009548;1.009548
405;3.375017;1.009458;1.000000;1.009458;1.009458;1.009458
406;3.383350;1.009395;1.000000;1.009395;1.009395;1.009395
407;3.391684;1.009361;1.000000;1.009361;1.009361;1.009361
408;3.400017;1.009359;1.000000;1.009359;1.009359;1.009359
409;3.408350;1.009387;1.000000;1.009387;1.009387;1.009387
410;3.416684;1.009442;1.000000;1.009442;1.009442;1.009442
411;3.425017;1.009521;1.000000;1.009521;1.009521;1.009521
412;3.433351;1.009617;1.000000;1.009617;1.009617;1.009617
413;3.441684;1.009722;1.000000;1.009722;1.009722;1.009722
414;3.450018;1.009830;1.000000;1.009830;1.009830;1.009830
415;3.458351;1.009933;1.000000;1.009933;1.009933;1.009933
416;3.466685;1.010024;1.000000;1.010024;1.010024;1.010024
417;3.475018;1.010098;1.000000;1.010098;1.010098;1.010098
418;3.483351;1.010150;1.000000;1.010150;1.010150;1.010150
419;3.491685;1.010177;1.000000;1.010177;1.010177;1.010177
420;3.500018;1.010179;1.000000;1.010179;1.010179;1.010179
421;3.508352;1.010156;1.000000;1.010156;1.010156;1.010156
422;3.516685;1.010111;1.000000;1.010111;1.010111;1.010111
423;3.525019;1.010047;1.000000;1.010047;1.010047;1.010047
424;3.533352;1.009970;1.000000;1.009970;1.009970;1.009970
425;3.541686;1.009884;1.000000;1.009884;1.009884;1.009884
426;3.550019;1.009797;1.000000;1.009797;1.009797;1.009797
427;3.558352;1.009713;1.000000;1.009713;1.009713;1.009713
428;3.566686;1.009638;1.000000;1.009638;1.009638;1.009638
429;3.575019;1.009578;1.000000;1.009578;1.009578;1.009578
430;3.583353;1.009535;1.000000;1.009535;1.009535;1.009535
