frame;time;maxForce;avgForce;maxAccel
486;16.200100;0.655944;0.0703547;590.349
487;16.233430;0.547842;0.0723306;493.057
488;16.266760;0.429293;0.0719765;386.363
489;16.300090;0.381991;0.0704083;325.361
490;16.333430;0.39468;0.067925;345.134
491;16.366760;0.459405;0.0641279;413.464
492;16.400090;0.454635;0.0595925;409.171
493;16.433430;0.408895;0.0565097;368.005
494;16.466760;0.412668;0.0562927;371.4
495;16.500090;0.487149;0.0594012;438.433
496;16.533420;0.636197;0.0643531;572.576
497;16.566760;0.77607;0.0725392;698.462
498;16.600090;0.79403;0.0836226;712.64
499;16.633420;0.839438;0.0965034;575.344
500;16.666760;1.01805;0.108924;458.122
501;16.700090;1.0365;0.116795;481.868
502;16.733420;0.860227;0.119675;584.029
503;16.766750;0.677094;0.116374;609.384
504;16.800090;0.478984;0.111055;431.085
505;16.833420;0.386866;0.106964;220.979
506;16.866750;0.371217;0.10414;170.022
507;16.900090;0.32322;0.106353;213.7
508;16.933420;0.293225;0.107818;224.17
509;16.966750;0.291872;0.107195;203.51
510;17.000080;0.304177;0.110046;165.433
511;17.033420;0.312559;0.111996;149.532
512;17.066750;0.344976;0.110159;164.274
513;17.100080;0.401037;0.108352;180.466
514;17.133420;0.351584;0.104253;158.213
515;17.166750;0.305495;0.0975702;135.024
516;17.200080;0.299888;0.0906829;134.949
517;17.233410;0.32409;0.0878183;145.84
518;17.266750;0.315905;0.0855765;142.157
519;17.300080;0.24359;0.083212;109.615
520;17.333410;0.241892;0.0820556;102.35
521;17.366740;0.286874;0.0818587;258.186
522;17.400080;0.419555;0.082028;377.599
523;17.433410;0.409996;0.081618;368.996
524;17.466740;0.369779;0.0785977;291.911
525;17.500080;0.43031;0.0745215;195.78
526;17.533410;0.440203;0.0706248;198.091
527;17.566740;0.412199;0.0673638;185.489
528;17.600070;0.364808;0.0647577;164.163
529;17.633410;0.332101;0.0645637;149.445
530;17.666740;0.366744;0.0659905;165.034
531;17.700070;0.364349;0.0668339;163.957
532;17.733410;0.323742;0.0659467;145.683
533;17.766740;0.263447;0.0671484;118.551
534;17.800070;0.188984;0.0684581;120.122
535;17.833400;0.185498;0.0707178;166.948
536;17.866740;0.202396;0.0722653;182.156
537;17.900070;0.196611;0.0724276;155.65
538;17.933400;0.19657;0.0703542;110.367
539;17.966740;0.254629;0.0702389;114.583
540;18.000070;0.275867;0.0726304;124.14
541;18.033400;0.232598;0.0736581;104.669
542;18.066730;0.213218;0.0743176;92.0889
543;18.100070;0.189794;0.0751269;101.901
544;18.133400;0.251477;0.075745;101.417
545;18.166730;0.318649;0.0762066;87.0396
546;18.200070;0.373722;0.0758148;84.0873
547;18.233400;0.356685;0.0754682;83.5013
548;18.266730;0.335867;0.0789102;96.8493
549;18.300060;0.586517;0.088123;138.704
550;18.333400;0.82874;0.101998;186.466
551;18.366730;0.915764;0.108296;206.047
552;18.400060;0.732004;0.101702;179.078
