frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
279;2.325003;1.012588;1.000000;1.012588;1.012588;1.012588
280;2.333336;1.011650;1.000000;1.011650;1.011650;1.011650
281;2.341670;1.010620;1.000000;1.010620;1.010620;1.010620
282;2.350003;1.009570;1.000000;1.009570;1.009570;1.009570
283;2.358336;1.008572;1.000000;1.008572;1.008572;1.008572
284;2.366670;1.007690;1.000000;1.007690;1.007690;1.007690
285;2.375003;1.006982;1.000000;1.006982;1.006982;1.006982
286;2.383337;1.006488;1.000000;1.006488;1.006488;1.006488
287;2.391670;1.006235;1.000000;1.006235;1.006235;1.006235
288;2.400004;1.006231;1.000000;1.006231;1.006231;1.006231
289;2.408337;1.006469;1.000000;1.006469;1.006469;1.006469
290;2.416671;1.006923;1.000000;1.006923;1.006923;1.006923
291;2.425004;1.007557;1.000000;1.007557;1.007557;1.007557
292;2.433337;1.008321;1.000000;1.008321;1.008321;1.008321
293;2.441671;1.009160;1.000000;1.009160;1.009160;1.009160
294;2.450004;1.010014;1.000000;1.010014;1.010014;1.010014
295;2.458338;1.010825;1.000000;1.010825;1.010825;1.010825
296;2.466671;1.011541;1.000000;1.011541;1.011541;1.011541
297;2.475005;1.012115;1.000000;1.012115;1.012115;1.012115
298;2.483338;1.012515;1.000000;1.012515;1.012515;1.012515
299;2.491672;1.012719;1.000000;1.012719;1.012719;1.012719
300;2.500005;1.012720;1.000000;1.012720;1.012720;1.012720
301;2.508338;1.012525;1.000000;1.012525;1.012525;1.012525
302;2.516672;1.012154;1.000000;1.012154;1.012154;1.012154
303;2.525005;1.011637;1.000000;1.011637;1.011637;1.011637
304;2.533339;1.011015;1.000000;1.011015;1.011015;1.011015
305;2.541672;1.010332;1.000000;1.010332;1.010332;1.010332
306;2.550006;1.009637;1.000000;1.009637;1.009637;1.009637
307;2.558339;1.008978;1.000000;1.008978;1.008978;1.008978
308;2.566673;1.008397;1.000000;1.008397;1.008397;1.008397
309;2.575006;1.007931;1.000000;1.007931;1.007931;1.007931
310;2.583339;1.007607;1.000000;1.007607;1.007607;1.007607
311;2.591673;1.007442;1.000000;1.007442;1.007442;1.007442
312;2.600006;1.007443;1.000000;1.007443;1.007443;1.007443
313;2.608340;1.007603;1.000000;1.007603;1.007603;1.007603
314;2.616673;1.007907;1.000000;1.007907;1.007907;1.007907
315;2.625007;1.008328;1.000000;1.008328;1.008328;1.008328
316;2.633340;1.008835;1.000000;1.008835;1.008835;1.008835
317;2.641674;1.009391;1.000000;1.009391;1.009391;1.009391
318;2.650007;1.009956;1.000000;1.009956;1.009956;1.009956
319;2.658340;1.010492;1.000000;1.010492;1.010492;1.010492
320;2.666674;1.010964;1.000000;1.010964;1.010964;1.010964
321;2.675007;1.011342;1.000000;1.011342;1.011342;1.011342
322;2.683341;1.011604;1.000000;1.011604;1.011604;1.011604
323;2.691674;1.011737;1.000000;1.011737;1.011737;1.011737
324;2.700008;1.011735;1.000000;1.011735;1.011735;1.011735
325;2.708341;1.011603;1.000000;1.011603;1.011603;1.011603
326;2.716675;1.011356;1.000000;1.011356;1.011356;1.011356
327;2.725008;1.011012;1.000000;1.011012;1.011012;1.011012
328;2.733341;1.010599;1.000000;1.010599;1.010599;1.010599
329;2.741675;1.010146;1.000000;1.010146;1.010146;1.010146
330;2.750008;1.009687;1.000000;1.009687;1.009687;1.009687
331;2.758342;1.009251;1.000000;1.009251;1.009251;1.009251
332;2.766675;1.008868;1.000000;1.008868;1.008868;1.008868
333;2.775009;1.008561;1.000000;1.008561;1.008561;1.008561
334;2.783342;1.008349;1.000000;1.008349;1.008349;1.008349
335;2.791676;1.008242;1.000000;1.008242;1.008242;1.008242
336;2.800009;1.008245;1.000000;1.008245;1.008245;1.008245
337;2.808342;1.008353;1.000000;1.008353;1.008353;1.008353
338;2.816676;1.008555;1.000000;1.008555;1.008555;1.008555
339;2.825009;1.008835;1.000000;1.008835;1.008835;1.008835
340;2.833343;1.009172;1.000000;1.009172;1.009172;1.009172
341;2.841676;1.009540;1.000000;1.009540;1.009540;1.009540
342;2.850010;1.009914;1.000000;1.009914;1.009914;1.009914
343;2.858343;1.010268;1.000000;1.010268;1.010268;1.010268
344;2.866677;1.010579;1.000000;1.010579;1.010579;1.010579
345;2.875010;1.010828;1.000000;1.010828;1.010828;1.010828
346;2.883343;1.011000;1.000000;1.011000;1.011000;1.011000
347;2.891677;1.011086;1.000000;1.011086;1.011086;1.011086
348;2.900010;1.011083;1.000000;1.011083;1.011083;1.011083
349;2.908344;1.010994;1.000000;1.010994;1.010994;1.010994
350;2.916677;1.010829;1.000000;1.010829;1.010829;1.010829
351;2.925011;1.010600;1.000000;1.010600;1.010600;1.010600
352;2.933344;1.010326;1.000000;1.010326;1.010326;1.010326
353;2.941678;1.010027;1.000000;1.010027;1.010027;1.010027
354;2.950011;1.009723;1.000000;1.009723;1.009723;1.009723
355;2.958344;1.009435;1.000000;1.009435;1.009435;1.009435
356;2.966678;1.009182;1.000000;1.009182;1.009182;1.009182
357;2.975011;1.008980;1.000000;1.008980;1.008980;1.008980
358;2.983345;1.008841;1.000000;1.008841;1.008841;1.008841
359;2.991678;1.008772;1.000000;1.008772;1.008772;1.008772
360;3.000012;1.008775;1.000000;1.008775;1.008775;1.008775
361;3.008345;1.008847;1.000000;1.008847;1.008847;1.008847
362;3.016679;1.008983;1.000000;1.008983;1.008983;1.008983
363;3.025012;1.009169;1.000000;1.009169;1.009169;1.009169
364;3.033345;1.009392;1.000000;1.009392;1.009392;1.009392
365;3.041679;1.009636;1.000000;1.009636;1.009636;1.009636
366;3.050012;1.009883;1.000000;1.009883;1.009883;1.009883
367;3.058346;1.010117;1.000000;1.010117;1.010117;1.010117
368;3.066679;1.010323;1.000000;1.010323;1.010323;1.010323
