frame;time;dx;dy;dz;displacement;angleFromVertical
206;6.866662;0.000000;0.053421;0.000000;0.053421;0.000000
207;6.899995;0.000000;0.049039;0.000000;0.049039;0.000000
208;6.933328;0.000000;0.049843;0.000000;0.049843;0.000000
209;6.966661;0.000000;0.055702;0.000000;0.055702;0.000000
210;6.999995;0.000000;0.065936;0.000000;0.065936;0.000000
211;7.033328;0.000000;0.079394;0.000000;0.079394;0.000000
212;7.066661;0.000000;0.094578;0.000000;0.094578;0.000000
213;7.099995;0.000000;0.109809;0.000000;0.109809;0.000000
214;7.133328;0.000000;0.123418;0.000000;0.123418;0.000000
215;7.166661;0.000000;0.133921;0.000000;0.133921;0.000000
216;7.199995;0.000000;0.140190;0.000000;0.140190;0.000000
217;7.233328;0.000000;0.141568;0.000000;0.141568;0.000000
218;7.266661;0.000000;0.137942;0.000000;0.137942;0.000000
219;7.299994;0.000000;0.129747;0.000000;0.129747;0.000000
220;7.333328;0.000000;0.117915;0.000000;0.117915;0.000000
221;7.366661;0.000000;0.103772;0.000000;0.103772;0.000000
222;7.399994;0.000000;0.088884;0.000000;0.088884;0.000000
223;7.433328;0.000000;0.074892;0.000000;0.074892;0.000000
224;7.466661;0.000000;0.063323;0.000000;0.063323;0.000000
225;7.499994;0.000000;0.055425;0.000000;0.055425;0.000000
226;7.533328;0.000000;0.052038;0.000000;0.052038;0.000000
227;7.566661;0.000000;0.053498;0.000000;0.053498;0.000000
228;7.599994;0.000000;0.059610;0.000000;0.059610;0.000000
229;7.633327;0.000000;0.069670;0.000000;0.069670;0.000000
230;7.666661;0.000000;0.082547;0.000000;0.082547;0.000000
231;7.699994;0.000000;0.096808;0.000000;0.096808;0.000000
232;7.733327;0.000000;0.110882;0.000000;0.110882;0.000000
233;7.766661;0.000000;0.123222;0.000000;0.123222;0.000000
234;7.799994;0.000000;0.132487;0.000000;0.132487;0.000000
235;7.833327;0.000000;0.137684;0.000000;0.137684;0.000000
236;7.866661;0.000000;0.138274;0.000000;0.138274;0.000000
237;7.899994;0.000000;0.134227;0.000000;0.134227;0.000000
238;7.933327;0.000000;0.126020;0.000000;0.126020;0.000000
239;7.966660;0.000000;0.114582;0.000000;0.114582;0.000000
240;7.999994;0.000000;0.101192;0.000000;0.101192;0.000000
241;8.033327;0.000000;0.087335;0.000000;0.087335;0.000000
242;8.066661;0.000000;0.074532;0.000000;0.074532;0.000000
243;8.099995;0.000000;0.064180;0.000000;0.064180;0.000000
244;8.133328;0.000000;0.057396;0.000000;0.057396;0.000000
245;8.166662;0.000000;0.054899;0.000000;0.054899;0.000000
246;8.199996;0.000000;0.056927;0.000000;0.056927;0.000000
247;8.233330;0.000000;0.063227;0.000000;0.063227;0.000000
248;8.266664;0.000000;0.073076;0.000000;0.073076;0.000000
249;8.299997;0.000000;0.085368;0.000000;0.085368;0.000000
250;8.333331;0.000000;0.098739;0.000000;0.098739;0.000000
251;8.366665;0.000000;0.111712;0.000000;0.111712;0.000000
252;8.399999;0.000000;0.122869;0.000000;0.122869;0.000000
253;8.433332;0.000000;0.131000;0.000000;0.131000;0.000000
254;8.466666;0.000000;0.135237;0.000000;0.135237;0.000000
255;8.500000;0.000000;0.135145;0.000000;0.135145;0.000000
256;8.533334;0.000000;0.130765;0.000000;0.130765;0.000000
257;8.566668;0.000000;0.122609;0.000000;0.122609;0.000000
258;8.600001;0.000000;0.111599;0.000000;0.111599;0.000000
259;8.633335;0.000000;0.098960;0.000000;0.098960;0.000000
260;8.666669;0.000000;0.086093;0.000000;0.086093;0.000000
261;8.700003;0.000000;0.074411;0.000000;0.074411;0.000000
262;8.733336;0.000000;0.065185;0.000000;0.065185;0.000000
263;8.766670;0.000000;0.059408;0.000000;0.059408;0.000000
264;8.800004;0.000000;0.057691;0.000000;0.057691;0.000000
265;8.833338;0.000000;0.060191;0.000000;0.060191;0.000000
266;8.866672;0.000000;0.066602;0.000000;0.066602;0.000000
267;8.900005;0.000000;0.076190;0.000000;0.076190;0.000000
268;8.933339;0.000000;0.087882;0.000000;0.087882;0.000000
269;8.966673;0.000000;0.100382;0.000000;0.100382;0.000000
270;9.000007;0.000000;0.112313;0.000000;0.112313;0.000000
271;9.033340;0.000000;0.122370;0.000000;0.122370;0.000000
272;9.066674;0.000000;0.129464;0.000000;0.129464;0.000000
273;9.100008;0.000000;0.132838;0.000000;0.132838;0.000000
274;9.133342;0.000000;0.132153;0.000000;0.132153;0.000000
275;9.166676;0.000000;0.127512;0.000000;0.127512;0.000000
276;9.200009;0.000000;0.119449;0.000000;0.119449;0.000000
277;9.233343;0.000000;0.108875;0.000000;0.108875;0.000000
278;9.266677;0.000000;0.096967;0.000000;0.096967;0.000000
279;9.300011;0.000000;0.085042;0.000000;0.085042;0.000000
280;9.333344;0.000000;0.074409;0.000000;0.074409;0.000000
281;9.366678;0.000000;0.066226;0.000000;0.066226;0.000000
282;9.400012;0.000000;0.061373;0.000000;0.061373;0.000000
283;9.433346;0.000000;0.060358;0.000000;0.060358;0.000000
284;9.466680;0.000000;0.063261;0.000000;0.063261;0.000000
285;9.500013;0.000000;0.069731;0.000000;0.069731;0.000000
286;9.533347;0.000000;0.079035;0.000000;0.079035;0.000000
287;9.566681;0.000000;0.090135;0.000000;0.090135;0.000000
288;9.600015;0.000000;0.101799;0.000000;0.101799;0.000000
289;9.633348;0.000000;0.112743;0.000000;0.112743;0.000000
290;9.666682;0.000000;0.121771;0.000000;0.121771;0.000000
291;9.700016;0.000000;0.127909;0.000000;0.127909;0.000000
292;9.733350;0.000000;0.130509;0.000000;0.130509;0.000000
293;9.766684;0.000000;0.129310;0.000000;0.129310;0.000000
294;9.800017;0.000000;0.124469;0.000000;0.124469;0.000000
295;9.833351;0.000000;0.116545;0.000000;0.116545;0.000000
296;9.866685;0.000000;0.106428;0.000000;0.106428;0.000000
297;9.900019;0.000000;0.095244;0.000000;0.095244;0.000000
298;9.933352;0.000000;0.084227;0.000000;0.084227;0.000000
299;9.966686;0.000000;0.074587;0.000000;0.074587;0.000000
300;10.000020;0.000000;0.067367;0.000000;0.067367;0.000000
301;10.033350;0.000000;0.063341;0.000000;0.063341;0.000000
302;10.066690;0.000000;0.062926;0.000000;0.062926;0.000000
303;10.100020;0.000000;0.066145;0.000000;0.066145;0.000000
304;10.133360;0.000000;0.072616;0.000000;0.072616;0.000000
305;10.166690;0.000000;0.081608;0.000000;0.081608;0.000000
306;10.200020;0.000000;0.092113;0.000000;0.092113;0.000000
307;10.233360;0.000000;0.102967;0.000000;0.102967;0.000000
308;10.266690;0.000000;0.112979;0.000000;0.112979;0.000000
309;10.300020;0.000000;0.121057;0.000000;0.121057;0.000000
310;10.333360;0.000000;0.126329;0.000000;0.126329;0.000000
311;10.366690;0.000000;0.128240;0.000000;0.128240;0.000000
312;10.400030;0.000000;0.126609;0.000000;0.126609;0.000000
313;10.433360;0.000000;0.121635;0.000000;0.121635;0.000000
314;10.466690;0.000000;0.113891;0.000000;0.113891;0.000000
315;10.500030;0.000000;0.104246;0.000000;0.104246;0.000000
316;10.533360;0.000000;0.093772;0.000000;0.093772;0.000000
317;10.566690;0.000000;0.083623;0.000000;0.083623;0.000000
318;10.600030;0.000000;0.074909;0.000000;0.074909;0.000000
319;10.633360;0.000000;0.068575;0.000000;0.068575;0.000000
320;10.666700;0.000000;0.065300;0.000000;0.065300;0.000000
321;10.700030;0.000000;0.065419;0.000000;0.065419;0.000000
322;10.733360;0.000000;0.068897;0.000000;0.068897;0.000000
323;10.766700;0.000000;0.075324;0.000000;0.075324;0.000000
324;10.800030;0.000000;0.083975;0.000000;0.083975;0.000000
325;10.833360;0.000000;0.093886;0.000000;0.093886;0.000000
326;10.866700;0.000000;0.103958;0.000000;0.103958;0.000000
327;10.900030;0.000000;0.113084;0.000000;0.113084;0.000000
328;10.933370;0.000000;0.120271;0.000000;0.120271;0.000000
329;10.966700;0.000000;0.124746;0.000000;0.124746;0.000000
330;11.000030;0.000000;0.126040;0.000000;0.126040;0.000000
331;11.033370;0.000000;0.124035;0.000000;0.124035;0.000000
332;11.066700;0.000000;0.118972;0.000000;0.118972;0.000000
333;11.100030;0.000000;0.111428;0.000000;0.111428;0.000000
